,X Coordinate,Y Coordinate,Stress Rating,Timestamp,Element,Subject Number,Temperature (C),Temperature (F)
0,30.623220000000003,-96.34949,4.0,1612992448350,"['Crosswalk and pedestrian light missing', 'Litter (dumping, broken glass weeds, graffiti)', 'Poor walking surface', 'No sidewalk', 'Lack of street lights', 'Lack of crosswalk']",S1,5.6,42.0
1,30.62422,-96.34749000000001,5.0,1612992644700,"['Poor walking surface', 'No sidewalk', 'Lack of street lights', 'Lack of crosswalk', 'Crosswalk and pedestrian light missing', 'High speed of traffic', 'One way road with two way traffic and a culvert on side.']",S1,5.6,42.0
2,30.622590000000002,-96.35242000000001,3.0,1613084007760,"['Poor walking surface', 'No sidewalk', 'Litter (dumping, broken glass weeds, graffiti)']",S1,1.7,35.0
3,30.618060000000003,-96.34795000000001,3.0,1613860719600,['Blocked sidewalk'],S1,15.6,60.0
4,30.62036,-96.34728000000001,2.0,1614124137000,['water draining'],S1,24.4,76.0
5,30.623670000000004,-96.34979000000001,3.0,1614123723000,"['Litter (dumping, broken glass weeds, graffiti)', 'Poor walking surface', 'No sidewalk']",S1,24.4,76.0
6,30.62056,-96.34671,4.0,1614302580600,"['Crosswalk and pedestrian light missing', 'Poor walking surface', 'Lack of street lights']",S1,16.1,61.0
7,30.61351,-96.34127000000001,1.0,1613004211500,['High speed of traffic'],S2,4.4,40.0
8,30.615530000000003,-96.34312000000001,1.0,1613005110000,['Weather condition'],S2,4.4,40.0
9,30.615710000000004,-96.34349,1.0,1613005909650,['High speed of traffic'],S2,3.9,39.0
10,30.612080000000002,-96.3404,1.0,1613105047800,['Weather condition'],S2,0.0,32.0
11,30.613540000000004,-96.33861,1.0,1613104884000,['Steam'],S2,0.0,32.0
12,30.61277,-96.34569,1.0,1613147500200,['Weather condition'],S2,-1.1,30.0
13,30.614940000000004,-96.33755000000001,1.0,1613188116000,"['Rowdy people', 'Lack of street lights']",S2,-0.6,31.0
14,30.615140000000004,-96.33714,1.0,1613274955500,['Lack of street lights'],S2,-1.1,30.0
15,30.612060000000003,-96.34270000000001,1.0,1613279136750,['Weather condition'],S2,-1.1,30.0
16,30.61492,-96.34267000000001,2.0,1613359676400,"['Weather condition', 'Poor walking surface']",S2,-6.7,20.0
17,30.616950000000003,-96.33770000000001,1.0,1613358943200,"['Weather condition', 'Ice', 'Poor walking surface']",S2,-6.7,20.0
18,30.609240000000003,-96.34144,2.0,1613428371600,"['Poor walking surface', 'Rowdy people']",S2,-7.2,19.0
19,30.612560000000002,-96.34439,1.0,1613429715600,['Weather condition'],S2,-7.2,19.0
20,30.617020000000004,-96.33932000000001,1.0,1613790592500,['Steep sidewalk slope'],S2,1.1,34.0
21,30.616260000000004,-96.34254000000001,1.0,1613873508280,['Lack of crosswalk'],S2,10.6,51.0
22,30.615930000000002,-96.34479,1.0,1613880471300,['Weather condition'],S2,9.4,49.0
23,30.612900000000003,-96.34468000000001,1.0,1613973795300,"['Weather condition', 'Weather condition']",S2,15.6,60.0
24,30.613580000000002,-96.33848,1.0,1614056497500,['Rowdy people'],S2,12.2,54.0
25,30.608120000000003,-96.34277,1.0,1614060164550,['Weather condition'],S2,11.7,53.0
26,30.607540000000004,-96.34232,1.0,1614142928550,['Rowdy people'],S2,16.1,61.0
27,30.61268,-96.34384000000001,1.0,1614145887300,['Lack of street lights'],S2,16.1,61.0
28,30.623350000000002,-96.34526000000001,2.0,1612996895250,"['Weather condition', 'mosquito']",S3,5.0,41.0
29,30.619380000000003,-96.34654,1.0,1612998499200,"['Litter (dumping, broken glass weeds, graffiti)']",S3,5.0,41.0
30,30.62637,-96.35145000000001,3.0,1613007409500,"['No sidewalk', 'Lack of street lights', 'Weather condition']",S3,3.9,39.0
31,30.622590000000002,-96.34228,2.0,1613088387600,"['Abandoned vehicle', 'Weather condition']",S3,0.6,33.0
32,30.62271,-96.34656000000001,3.0,1613088785100,"['No sidewalk', 'Lack of street lights']",S3,0.6,33.0
33,30.619950000000003,-96.34981,4.0,1613263612800,"['No sidewalk', 'Lack of street lights', 'Abandoned vehicle', 'Weather condition']",S3,-0.6,31.0
34,30.620400000000004,-96.35028000000001,3.0,1613704677150,"['No sidewalk', 'Lack of street lights', 'Abandoned vehicle']",S3,-2.2,28.0
35,30.620720000000002,-96.35257000000001,3.0,1613865107400,"['Crosswalk and pedestrian light missing', 'Litter (dumping, broken glass weeds, graffiti)', 'Abandoned vehicle']",S3,15.6,60.0
36,30.624430000000004,-96.34796000000001,3.0,1613966238000,"['No sidewalk', 'Lack of street lights']",S3,15.6,60.0
37,30.621480000000002,-96.34605,2.0,1614134272500,['Lack of street lights'],S3,20.0,68.0
38,30.622690000000002,-96.34098,1.0,1614210813000,['High speed of traffic'],S3,26.1,79.0
39,30.62272,-96.34638000000001,2.0,1614311680200,['Lack of street lights'],S3,14.4,58.0
40,30.62216,-96.34578,3.0,1614392920800,"['Crosswalk and pedestrian light missing', 'Steep sidewalk slope', 'No sidewalk', 'Lack of street lights']",S3,16.7,62.0
41,30.622580000000003,-96.34071,4.0,1613199853500,['The lanes are unclear through the intersection and people always cut you off.'],S4,-0.6,31.0
42,30.609910000000003,-96.32664000000001,4.0,1613200132500,['Very dark at night. no or little streetlights.'],S4,-0.6,31.0
43,30.60534,-96.32546,4.0,1613254255500,"['High speed of traffic', 'Poor walking surface', 'No sidewalk']",S4,0.0,32.0
44,30.605110000000003,-96.32688,2.0,1613254440750,"['Poor walking surface', 'No sidewalk', 'Unattended dogs']",S4,0.0,32.0
45,30.60667,-96.32949,3.0,1613254882500,"['Poor walking surface', 'No sidewalk']",S4,0.0,32.0
46,30.606430000000003,-96.32782,3.0,1613255110500,"['Poor walking surface', 'No sidewalk']",S4,0.0,32.0
47,30.605430000000002,-96.32472000000001,5.0,1613254198500,['Weather condition'],S4,0.0,32.0
48,30.609630000000003,-96.32696000000001,3.0,1613687620800,"['High speed of traffic', 'Ice on the road and hidden stop sign.', 'Weather condition', 'No sidewalk']",S4,0.0,32.0
49,30.60846,-96.32645000000001,3.0,1613687755200,"['No sidewalk', 'High speed of traffic', 'Weather condition']",S4,0.0,32.0
50,30.607170000000004,-96.32661,,1613687908800,"['High speed of traffic', 'Weather condition', 'No sidewalk']",S4,0.0,32.0
