,Stimuli,Count
0,Poor walking surface,541
1,No sidewalk,530
2,High speed of traffic,475
3,Lack of crosswalk,335
4,"Litter",306
5,Lack of street lights,300
6,Rowdy people,276
7,Weather condition,198
8,Blocked sidewalk,194
9,Crosswalk and pedestrian light missing,160
10,No benches,123
11,Unattended dogs,110
12,Steep sidewalk slope,97
13,Abandoned vehicle,77
14,construction,45
15,Tree missing,40
16,Construction,19
17,poor road conditions,15
18,,12
19,16,11
20,traffic,9
21,Traffic,9
22,potholes,7
23,Potholes,7
24,high speed traffic,6
25,Slow Traffic,6
26,Ice,5
27,got lost,5
28,highway traffic,5
29,so much traffic,5
30,lots of traffic,5
31,car almost hit me,5
32,No traffic lights,5
33,cracked pavement,4
34,heavy traffic,4
35,people without masks nearby,4
36,One way road with two way traffic and a culvert on side.,3
37,mosquito,3
38,Ice on the road and hidden stop sign.,3
39,pedestrian,3
40,large potholes,3
41,high speed cars,3
42,"american flags on hanging in people's driveways"", 'poor road conditions",3
43,really LARGE ant hill. like; it was at least a foot long.,3
44,political signs,3
45,loud constant noise coming from building (air conditioning?),3
46,people on scooters turned right as I was about to cross the street,3
47,car about to run me over :(,3
48,people were crossing the road while the lights were green,3
49,Cyclists,3
50,long wait times,3
51,Pedestrians,3
52,unknown area at night,3
53,Unfamiliar route to Lake Somerville; I was not driving,3
54,Unfamiliar path,3
55,Bicycles on sidewalk,3
56,No paths at this point,3
57,There was high speed traffic on a congested highway.,3
58,loud street with noisy train,3
59,There was high speed of traffic and a noisy train.,3
60,lots of potholes,3
61,cross traffic; poor visibility,3
62,missed turn and traffic,3
63,j walking pedestrians,3
64,lots of construction around me,3
65,high traffic,3
66,high traffic area,3
67,crossing traffic,3
68,cross street came up twice,3
69,cars driving recklessly through parking lot,3
70,weird left turn on road. had to be careful.,3
71,Busy Intersection,3
72,Crossing busy street,3
73,Railway crossing,3
74,Steam,2
75,The lanes are unclear through the intersection and people always cut you off.,2
76,Very dark at night. no or little streetlights.,2
77,no street lights.,2
78,Narrow lanes with lots of cars; dark; rainy.,2
79,tree branches in way of walking path.,2
80,Had to cross the street to the other side to get to the sidewalk.,2
81,Tree branch in the way of the path.,2
